zone_id,localite,region,latitude,longitude,altitude_m,pente_pct,distance_plan_eau_m,type_sol,occupation_sol,taux_impermeabilisation_pct,densite_pop_hab_km2,reseau_assainissement,profondeur_nappe_m,nb_inondations_2005_2014
Z0195,Kaolack,Kaolack,14.13608,-16.08179,15.3,0.14,965,Sableux,Urbain lâche,48.5,3042,Aucun,3.9,0
Z0196,Kaolack,Kaolack,14.14481,-16.06172,3.1,0.46,1175,Argilo-sableux,Urbain lâche,56.1,7106,Aucun,0.9,5
Z0197,Kaolack,Kaolack,14.15775,-16.06744,13.2,0.04,2708,Argilo-sableux,Urbain lâche,44.3,3743,Partiel,5.0,0
Z0198,Kaolack,Kaolack,14.153,-16.06389,5.0,0.49,433,Argileux,Agricole,19.9,235,Complet,3.7,0
Z0199,Kaolack,Kaolack,14.15552,-16.08299,1.8,1.17,447,Argileux,Urbain dense,98.0,16291,Aucun,1.6,10
Z0200,Kaolack,Kaolack,14.16769,-16.04307,12.4,0.2,519,Argilo-sableux,Urbain lâche,53.1,14881,Aucun,3.7,1
Z0201,Kaolack,Kaolack,14.1462,-16.0589,8.0,0.12,1857,Argilo-sableux,Urbain dense,78.1,18270,Aucun,4.0,2
Z0202,Kaolack,Kaolack,14.16404,-16.07917,4.6,0.49,2372,Argileux,Urbain dense,87.4,15711,Aucun,2.2,4
Z0203,Kaolack,Kaolack,14.15065,-16.05981,1.3,0.82,1265,Sableux,Urbain dense,96.1,20917,Aucun,2.6,1
Z0204,Kaolack,Kaolack,14.14657,-16.07824,7.2,0.19,1228,Hydromorphe,Urbain dense,98.0,13313,Partiel,2.0,3
Z0205,Kaolack,Kaolack,14.17138,-16.09182,10.0,0.99,385,Argileux,Urbain dense,72.6,16834,Aucun,3.8,1
Z0206,Kaolack,Kaolack,14.16763,-16.07389,5.2,0.61,675,Argilo-sableux,Urbain dense,85.0,22391,Aucun,1.7,3
Z0207,Touba,Diourbel,14.84873,-15.88383,43.7,1.2,575,Argilo-sableux,Urbain dense,72.4,19001,Complet,10.4,0
Z0208,Touba,Diourbel,14.87883,-15.87911,51.3,4.72,1059,Hydromorphe,Zone humide (Niayes/bas-fond),21.0,148,Partiel,2.8,1
Z0209,Touba,Diourbel,14.84616,-15.88107,16.1,2.7,1931,Argileux,Urbain lâche,52.9,2735,Partiel,6.3,7
Z0210,Touba,Diourbel,14.85043,-15.86966,41.0,1.65,2005,Sableux,Agricole,0.0,252,Aucun,8.3,0
Z0211,Touba,Diourbel,14.87015,-15.86466,18.5,1.76,4454,Hydromorphe,Zone humide (Niayes/bas-fond),27.2,98,Partiel,2.0,9
Z0212,Touba,Diourbel,14.84046,-15.88397,57.7,1.25,1068,Argileux,Urbain lâche,50.1,4943,Aucun,12.3,0
Z0213,Touba,Diourbel,14.85238,-15.88162,74.3,1.0,827,Argileux,Agricole,17.4,258,Partiel,14.1,0
Z0214,Touba,Diourbel,14.84791,-15.87013,76.0,1.33,636,Hydromorphe,Urbain dense,82.8,14578,Aucun,14.3,0
Z0215,Touba,Diourbel,14.86171,-15.87625,33.7,1.18,7159,Hydromorphe,Zone humide (Niayes/bas-fond),29.2,154,Partiel,2.3,6
Z0216,Touba,Diourbel,14.84919,-15.88647,53.2,4.11,1632,Sableux,Urbain dense,82.0,10249,Partiel,10.5,0
Z0217,Touba,Diourbel,14.84564,-15.86288,58.7,1.37,1031,Latéritique,Urbain dense,77.7,12086,Partiel,12.5,0
Z0218,Touba,Diourbel,14.84925,-15.87109,49.1,1.13,4198,Argilo-sableux,Urbain lâche,49.2,3548,,10.8,0
Z0219,Touba,Diourbel,14.86962,-15.85195,62.2,4.04,451,Sableux,Urbain lâche,46.6,3929,Partiel,10.8,0
Z0220,Touba,Diourbel,14.84779,-15.87393,38.9,3.42,818,Argileux,Urbain lâche,38.0,3649,Partiel,8.3,0
Z0221,Mbacké,Diourbel,14.79673,-15.91172,60.1,1.8,1143,Argilo-sableux,Urbain dense,64.7,12069,Complet,11.2,0
Z0222,Mbacké,Diourbel,14.78599,-15.9198,47.5,7.57,1100,Hydromorphe,Agricole,8.9,348,Complet,9.9,0
Z0223,Mbacké,Diourbel,14.78444,-15.91061,11.3,3.07,2795,Argilo-sableux,Végétation naturelle,6.1,304,Aucun,4.4,3
Z0224,Mbacké,Diourbel,14.80125,-15.89962,23.3,0.27,3723,Latéritique,Agricole,0.0,94,Aucun,7.2,3
Z0225,Mbacké,Diourbel,14.78067,-15.89585,41.6,2.34,2635,Argileux,Urbain dense,68.3,16607,Aucun,8.8,0
Z0226,Mbacké,Diourbel,14.79376,-15.89741,33.9,0.45,4399,Argilo-sableux,Agricole,25.3,90,Partiel,7.3,0
Z0227,Mbacké,Diourbel,14.79743,-15.93444,45.5,1.31,1360,Argilo-sableux,Agricole,18.3,251,Complet,10.4,0
Z0228,Mbacké,Diourbel,14.79447,-15.9103,37.9,1.18,1600,Sableux,Urbain dense,81.9,13930,Complet,10.5,0
Z0229,Mbacké,Diourbel,14.79682,-15.93397,28.1,0.66,3203,Argilo-sableux,Agricole,13.2,128,Aucun,7.3,1
Z0230,Mbacké,Diourbel,14.77472,-15.91024,52.2,3.98,4014,Argilo-sableux,Agricole,6.7,119,Partiel,11.5,0
Z0231,Diourbel,Diourbel,14.64765,-16.24856,25.0,1.73,3234,Argilo-sableux,Urbain dense,88.3,13165,Complet,4.8,0
Z0232,Diourbel,Diourbel,14.65278,-16.23371,9.1,0.21,890,Latéritique,Agricole,28.8,176,Partiel,5.0,1
Z0233,Diourbel,Diourbel,14.66621,-16.22567,29.1,0.16,1140,Argileux,Urbain lâche,49.6,7013,Partiel,6.7,0
Z0234,Diourbel,Diourbel,14.66993,-16.26694,22.9,1.38,2320,Hydromorphe,Zone humide (Niayes/bas-fond),41.1,334,Complet,2.0,1
Z0235,Diourbel,Diourbel,14.67604,-16.21612,25.1,1.16,560,Argileux,Agricole,2.0,439,Aucun,6.6,0
Z0236,Diourbel,Diourbel,14.67268,-16.25098,13.7,3.83,7707,Hydromorphe,Urbain lâche,37.6,10654,Partiel,4.4,0
Z0237,Diourbel,Diourbel,14.65434,-16.22697,25.1,0.75,5075,Argilo-sableux,Agricole,18.5,202,Complet,6.4,0
Z0238,Diourbel,Diourbel,14.65928,-16.2439,14.2,2.3,7284,Latéritique,Urbain lâche,59.8,8904,Aucun,6.1,0
Z0239,Diourbel,Diourbel,14.6804,-16.23168,22.1,0.72,5422,Hydromorphe,Agricole,16.5,191,Aucun,5.4,2
Z0240,Saint-Louis,Saint-Louis,16.01922,-16.49404,2.9,0.53,346,Latéritique,Urbain dense,81.9,6593,Aucun,0.4,7
Z0241,Saint-Louis,Saint-Louis,16.04467,-16.49675,5.5,0.16,290,Hydromorphe,Zone humide (Niayes/bas-fond),35.0,61,Aucun,1.3,3
Z0242,Saint-Louis,Saint-Louis,16.03511,-16.48944,1.3,0.71,408,Argileux,Urbain lâche,53.7,2584,,0.2,2
Z0243,Saint-Louis,Saint-Louis,16.0088,-16.51709,4.5,0.7,143,Hydromorphe,Urbain lâche,31.7,6218,Partiel,1.8,3
Z0244,Saint-Louis,Saint-Louis,16.03488,-16.49881,1.4,2.33,270,Argilo-sableux,Urbain dense,93.9,25349,Partiel,2.6,2
Z0245,Saint-Louis,Saint-Louis,16.03679,-16.48992,5.1,0.57,1049,Argilo-sableux,Urbain dense,70.3,12984,Aucun,3.3,3
Z0246,Saint-Louis,Saint-Louis,16.0156,-16.50141,0.5,0.43,570,Argilo-sableux,Urbain dense,76.1,9383,Aucun,1.0,4
Z0247,Saint-Louis,Saint-Louis,16.02894,-16.49939,4.9,0.85,396,Argilo-sableux,Urbain lâche,47.1,5532,Aucun,3.1,1
Z0248,Saint-Louis,Saint-Louis,16.02015,-16.49044,10.8,0.3,222,Hydromorphe,Zone humide (Niayes/bas-fond),27.0,127,Complet,2.4,0
Z0249,Saint-Louis,Saint-Louis,16.02846,-16.49101,0.5,0.13,146,Argileux,Urbain dense,76.1,13631,,2.1,10
Z0250,Saint-Louis,Saint-Louis,16.04611,-16.50592,0.5,0.11,1042,Argilo-sableux,Urbain lâche,47.1,3277,Aucun,2.4,5
Z0251,Saint-Louis,Saint-Louis,16.04214,-16.50128,3.8,0.34,307,Hydromorphe,Urbain lâche,61.6,6533,Aucun,2.5,2
Z0252,Podor,Saint-Louis,16.66123,-14.96933,10.7,0.94,547,Hydromorphe,Zone humide (Niayes/bas-fond),10.5,122,Partiel,1.1,0
Z0253,Podor,Saint-Louis,16.65655,-14.94458,7.5,0.02,708,Sableux,Urbain lâche,54.5,8624,Aucun,3.6,1
Z0254,Podor,Saint-Louis,16.65444,-14.93937,10.0,0.74,370,Sableux,Agricole,1.9,157,Aucun,4.4,0
Z0255,Podor,Saint-Louis,16.64099,-14.97768,5.1,0.4,781,Hydromorphe,Zone humide (Niayes/bas-fond),16.5,162,Partiel,1.5,2
Z0256,Podor,Saint-Louis,16.66066,-14.95529,3.1,0.91,1276,Argileux,Urbain lâche,58.5,4301,Partiel,1.7,1
Z0257,Podor,Saint-Louis,16.64217,-14.94369,8.9,0.98,1160,Latéritique,Urbain lâche,49.9,2731,Aucun,,0
Z0258,Podor,Saint-Louis,16.6727,-14.96094,9.3,1.27,422,Latéritique,Urbain lâche,52.6,3479,Complet,3.0,0
Z0259,Podor,Saint-Louis,16.65987,-14.97207,0.5,0.99,212,Sableux,Urbain lâche,44.5,7220,Partiel,2.0,1
Z0260,Podor,Saint-Louis,16.64394,-14.95811,7.1,0.16,665,Latéritique,Urbain lâche,40.8,2937,Complet,4.7,0
Z0261,Richard-Toll,Saint-Louis,16.46542,-15.6986,11.8,0.6,85,Argilo-sableux,Urbain dense,78.4,18642,Partiel,3.7,1
Z0262,Richard-Toll,Saint-Louis,16.45417,-15.70834,9.1,0.19,500,Argileux,Agricole,0.0,211,Partiel,3.3,1
Z0263,Richard-Toll,Saint-Louis,16.46792,-15.70455,7.0,0.24,1488,Hydromorphe,Agricole,3.9,154,Partiel,3.4,0
Z0264,Richard-Toll,Saint-Louis,16.45711,-15.70976,15.2,1.23,623,Argileux,Végétation naturelle,2.7,115,Partiel,4.0,0
Z0265,Richard-Toll,Saint-Louis,16.43943,-15.69625,6.3,0.38,442,Argileux,Urbain dense,66.5,14489,Aucun,3.0,3
Z0266,Richard-Toll,Saint-Louis,16.46503,-15.70134,0.5,0.51,324,Argileux,Agricole,0.0,104,Partiel,4.5,0
Z0267,Richard-Toll,Saint-Louis,16.45779,-15.68326,6.1,2.3,470,Argilo-sableux,Urbain dense,98.0,15403,Partiel,2.9,0
Z0268,Richard-Toll,Saint-Louis,16.46142,-15.68796,10.1,0.26,878,Sableux,Urbain dense,85.2,9502,Partiel,3.9,1
Z0269,Richard-Toll,Saint-Louis,16.45427,-15.70138,11.5,0.67,2346,Sableux,Urbain dense,94.4,9091,Complet,,0
Z0270,Richard-Toll,Saint-Louis,16.47302,-15.6757,4.1,0.24,2436,Argileux,Agricole,18.3,105,Partiel,3.5,1
Z0271,Richard-Toll,Saint-Louis,16.47016,-15.70557,6.5,1.48,1226,Sableux,Végétation naturelle,2.6,267,Complet,2.4,0
Z0272,Thiès,Thiès,14.78673,-16.93095,109.6,0.99,2966,Sableux,Urbain dense,95.3,14689,Aucun,20.7,0
Z0273,Thiès,Thiès,14.75176,-16.92971,85.6,3.0,1968,Hydromorphe,Zone humide (Niayes/bas-fond),27.8,102,Partiel,1.6,0
Z0274,Thiès,Thiès,14.79648,-16.93326,95.0,2.09,1763,Sableux,Urbain dense,82.8,12901,Partiel,18.4,0
Z0275,Thiès,Thiès,14.80125,-16.94199,80.5,1.81,6162,Latéritique,Urbain dense,53.4,24065,Complet,15.8,0
Z0276,Thiès,Thiès,14.78371,-16.92981,62.1,1.3,1645,Sableux,Végétation naturelle,14.6,340,Aucun,13.5,0
Z0277,Thiès,Thiès,14.78705,-16.92185,44.8,2.32,830,Hydromorphe,Urbain dense,76.3,28370,Complet,9.5,1
Z0278,Thiès,Thiès,14.80536,-16.91571,85.3,2.37,1917,Sableux,Urbain dense,79.0,15020,Complet,16.4,0
Z0279,Thiès,Thiès,14.7854,-16.9351,74.8,0.86,3557,Argileux,Urbain lâche,31.7,2995,Aucun,14.1,1
Z0280,Thiès,Thiès,14.78509,-16.93982,93.3,1.52,1918,Hydromorphe,Urbain dense,84.6,11170,Aucun,18.1,0
Z0281,Thiès,Thiès,14.80311,-16.94015,73.0,2.97,3915,Hydromorphe,Urbain dense,86.3,19662,Aucun,15.0,0
Z0282,Thiès,Thiès,14.79684,-16.93017,32.3,2.58,826,Argilo-sableux,Agricole,0.0,376,Complet,,0
Z0283,Mbour,Thiès,14.40906,-16.95347,17.6,0.06,1550,Sableux,Agricole,30.5,58,Aucun,5.8,1
Z0284,Mbour,Thiès,14.41182,-16.97441,15.0,0.04,898,Sableux,Urbain dense,85.5,13160,Aucun,4.2,1
Z0285,Mbour,Thiès,14.43346,-16.95247,15.5,0.34,288,Sableux,Urbain dense,88.7,20054,Complet,5.7,0
Z0286,Mbour,Thiès,14.41343,-16.94179,11.8,0.21,1405,Hydromorphe,Végétation naturelle,7.6,366,Partiel,,1
Z0287,Mbour,Thiès,14.42646,-16.9492,21.1,2.18,2412,Argileux,Urbain lâche,65.3,3157,Complet,5.1,0
Z0288,Mbour,Thiès,14.4057,-16.94906,1.6,1.09,1753,Sableux,Urbain lâche,76.2,3652,Aucun,1.9,1
Z0289,Mbour,Thiès,14.40037,-16.97439,15.6,1.12,477,Sableux,Urbain dense,68.9,12471,Partiel,,0
Z0290,Mbour,Thiès,14.42727,-16.97215,11.8,0.89,829,Sableux,Urbain dense,84.1,22974,Complet,5.6,0
Z0291,Mbour,Thiès,14.4147,-16.94897,17.4,0.06,2339,Hydromorphe,Urbain dense,88.7,12736,Partiel,5.3,0
Z0292,Mbour,Thiès,14.42213,-16.99522,-9999.0,1.09,330,Sableux,Urbain lâche,38.2,4489,Complet,3.9,0
Z0293,Mbour,Thiès,14.45196,-16.9573,13.5,1.55,791,Sableux,Urbain lâche,55.7,3351,Complet,3.0,0
Z0294,Mbour,Thiès,14.40352,-16.97361,5.2,2.18,198,Hydromorphe,Urbain lâche,74.6,4647,Partiel,0.3,6
Z0295,Tivaouane,Thiès,14.94763,-16.82452,58.2,2.44,11172,Hydromorphe,Zone humide (Niayes/bas-fond),28.1,422,Complet,0.8,0
Z0296,Tivaouane,Thiès,-16.82262,14.94129,40.6,2.7,1747,Hydromorphe,Zone humide (Niayes/bas-fond),14.4,125,Aucun,1.1,1
Z0297,Tivaouane,Thiès,14.93169,-16.81861,48.8,0.42,2175,Sableux,Agricole,35.2,167,Complet,9.9,0
Z0298,Tivaouane,Thiès,14.9435,-16.81752,46.7,10.72,3534,Hydromorphe,Agricole,2.1,151,Complet,10.6,0
Z0299,Tivaouane,Thiès,14.93193,-16.81093,46.5,3.13,3173,Hydromorphe,Zone humide (Niayes/bas-fond),18.2,176,Partiel,0.3,1
Z0300,Tivaouane,Thiès,14.92773,-16.82273,30.9,1.2,2602,Hydromorphe,Agricole,14.5,259,Partiel,8.0,0
Z0301,Tivaouane,Thiès,14.93591,-16.81981,42.1,2.58,5278,Sableux,Agricole,3.6,277,Partiel,9.6,0
Z0302,Tivaouane,Thiès,-16.82,14.93929,14.2,1.96,3319,Sableux,Agricole,0.0,326,Partiel,3.5,0
Z0303,Tivaouane,Thiès,14.9366,-16.82623,30.3,0.98,1911,Argilo-sableux,Agricole,4.1,239,Complet,7.1,1
Z0304,Joal-Fadiouth,Thiès,14.18052,-16.85363,4.7,1.1,221,Hydromorphe,Urbain lâche,53.9,6369,Complet,2.8,1
Z0305,Joal-Fadiouth,Thiès,14.16657,-16.83202,3.7,0.46,467,Sableux,Végétation naturelle,0.0,187,Partiel,1.9,1
Z0306,Joal-Fadiouth,Thiès,14.1584,-16.83684,4.1,0.44,985,Argilo-sableux,Urbain dense,98.0,13754,Aucun,4.0,0
Z0307,Joal-Fadiouth,Thiès,14.18288,-16.81894,0.8,1.43,595,Argileux,Agricole,10.9,517,Complet,1.5,1
Z0308,Joal-Fadiouth,Thiès,14.1616,-16.84379,1.6,1.45,261,Sableux,Agricole,25.4,162,Complet,2.1,2
Z0309,Joal-Fadiouth,Thiès,14.15665,-16.81662,0.5,0.9,203,Sableux,Agricole,18.5,121,Partiel,0.9,1
Z0310,Joal-Fadiouth,Thiès,14.16364,-16.83097,3.2,0.2,921,Hydromorphe,Agricole,32.6,180,Partiel,1.5,3
Z0311,Joal-Fadiouth,Thiès,14.15963,-16.83076,2.9,0.13,507,Hydromorphe,Urbain lâche,53.1,4004,Partiel,2.1,4
Z0312,Joal-Fadiouth,Thiès,14.16987,-16.8342,4.7,0.47,2221,Latéritique,Urbain lâche,53.3,7713,Partiel,4.1,0
Z0313,Joal-Fadiouth,Thiès,14.17376,-16.84671,4.3,0.55,300,Sableux,Urbain dense,85.7,7055,Aucun,2.6,2
Z0314,Joal-Fadiouth,Thiès,14.17383,-16.83731,3.6,0.46,632,Argilo-sableux,Agricole,10.7,177,Complet,1.5,0
Z0315,Joal-Fadiouth,Thiès,14.16597,-16.84386,5.7,1.09,630,Sableux,Urbain dense,72.8,17623,Aucun,2.8,0
Z0316,Joal-Fadiouth,Thiès,14.14191,-16.83374,0.5,0.27,1624,Latéritique,Urbain lâche,43.6,3850,Aucun,2.2,1
Z0317,Joal-Fadiouth,Thiès,14.14661,-16.84517,4.5,0.76,1685,Hydromorphe,Zone humide (Niayes/bas-fond),16.0,249,Aucun,0.8,1
Z0318,Kaffrine,Kaffrine,14.10654,-15.5508,23.3,0.04,1933,Argilo-sableux,Agricole,0.0,284,Partiel,6.1,0
Z0319,Kaffrine,Kaffrine,14.10041,-15.54333,25.8,0.49,1609,Latéritique,Urbain lâche,60.2,5565,Partiel,5.4,1
Z0320,Kaffrine,Kaffrine,14.07923,-15.53776,17.1,1.36,632,Hydromorphe,Urbain lâche,50.9,7220,Partiel,5.1,1
Z0321,Kaffrine,Kaffrine,14.11979,-15.56332,13.0,1.36,4250,Hydromorphe,Végétation naturelle,0.0,193,Complet,5.7,0
Z0322,Kaffrine,Kaffrine,14.08864,-15.56721,7.8,0.97,5872,Argilo-sableux,Agricole,7.9,155,Partiel,4.3,0
Z0323,Kaffrine,Kaffrine,14.09603,-15.54846,2.5,0.73,8565,Sableux,Urbain lâche,48.5,5032,Complet,2.4,2
Z0324,Kaffrine,Kaffrine,14.08509,-15.5504,11.3,0.11,1081,Argileux,Agricole,20.0,143,Partiel,2.9,0
Z0325,Kaffrine,Kaffrine,14.12223,-15.54427,21.3,0.45,4822,Latéritique,Urbain lâche,48.0,6484,Complet,4.8,0
Z0326,Kaffrine,Kaffrine,14.08396,-15.5586,13.9,0.51,1813,Hydromorphe,Urbain lâche,46.7,2986,Partiel,3.3,2
Z0327,Kaffrine,Kaffrine,14.0936,-15.54071,19.4,1.21,496,Argilo-sableux,Urbain lâche,47.9,3293,Complet,3.7,0
Z0328,Ziguinchor,Ziguinchor,12.56688,-16.29029,2.9,0.03,1381,Argilo-sableux,Urbain lâche,64.7,3045,Aucun,3.8,2
Z0329,Ziguinchor,Ziguinchor,12.55521,-16.28858,5.9,0.32,535,Argilo-sableux,Urbain lâche,56.1,8406,Partiel,3.8,3
Z0330,Ziguinchor,Ziguinchor,12.56278,-16.2735,9.1,1.03,462,Argilo-sableux,Végétation naturelle,14.0,248,Complet,4.2,1
Z0331,Ziguinchor,Ziguinchor,12.5347,-16.24552,7.7,0.6,521,Hydromorphe,Zone humide (Niayes/bas-fond),23.7,85,Partiel,0.2,3
Z0332,Ziguinchor,Ziguinchor,12.58222,-16.27025,15.4,2.88,1520,Argileux,Urbain lâche,62.0,3973,Aucun,6.4,0
Z0333,Ziguinchor,Ziguinchor,12.56493,-16.28405,11.5,1.07,2368,Sableux,Urbain lâche,56.3,5371,Aucun,4.0,1
Z0334,Ziguinchor,Ziguinchor,12.56656,-16.25719,7.7,0.31,259,Argilo-sableux,Urbain dense,88.7,12244,Aucun,3.0,6
Z0335,Ziguinchor,Ziguinchor,12.56666,-16.28001,3.0,2.37,536,Sableux,Urbain dense,82.1,14391,Aucun,3.5,1
Z0336,Ziguinchor,Ziguinchor,12.57452,-16.27871,15.6,0.4,229,Latéritique,Urbain dense,91.3,15128,Partiel,3.2,1
Z0337,Ziguinchor,Ziguinchor,12.56827,-16.26111,5.2,1.83,238,Argilo-sableux,Urbain dense,80.1,30838,Complet,,1
Z0338,Ziguinchor,Ziguinchor,12.5606,-16.25105,11.6,0.11,339,Sableux,Urbain dense,93.4,24042,Complet,3.6,0
Z0339,Ziguinchor,Ziguinchor,12.53547,-16.2734,16.0,0.95,497,Latéritique,Urbain dense,80.1,10499,Complet,6.6,0
Z0340,Kolda,Kolda,12.89564,-14.9468,22.8,0.55,234,Argilo-sableux,Urbain lâche,48.6,3171,Complet,6.0,0
Z0341,Kolda,Kolda,12.88263,-14.94852,29.0,3.67,343,Argilo-sableux,Agricole,11.4,430,Complet,6.8,0
Z0342,Kolda,Kolda,12.89583,-14.95035,25.3,1.57,452,Sableux,Urbain dense,72.0,13876,Complet,5.7,0
Z0343,Kolda,Kolda,12.88613,-14.92754,30.7,5.34,1913,Hydromorphe,Zone humide (Niayes/bas-fond),32.7,334,Partiel,2.1,0
Z0344,Kolda,Kolda,12.88924,-14.95369,41.2,1.49,4804,Sableux,Agricole,24.3,62,Complet,10.3,0
Z0345,Kolda,Kolda,12.92682,-14.92524,27.4,0.47,847,Argilo-sableux,Urbain lâche,43.9,5900,Partiel,7.9,0
Z0346,Kolda,Kolda,12.90482,-14.94159,15.7,0.41,917,Argilo-sableux,Urbain dense,74.6,22941,Partiel,4.6,3
Z0347,Kolda,Kolda,12.88891,-14.95215,29.3,1.35,240,Sableux,Agricole,29.2,161,Complet,6.9,0
Z0348,Kolda,Kolda,12.88011,-14.94564,40.1,0.84,485,Sableux,Agricole,0.0,258,Partiel,7.2,0
Z0349,Kolda,Kolda,12.89394,-14.9448,40.8,6.11,351,Argilo-sableux,Agricole,0.4,222,Partiel,7.4,0
Z0350,Kolda,Kolda,12.90095,-14.96035,25.0,0.3,696,Hydromorphe,Zone humide (Niayes/bas-fond),38.3,141,Partiel,0.2,2
Z0351,Sédhiou,Sédhiou,12.73239,-15.57694,12.3,0.02,1038,Hydromorphe,Zone humide (Niayes/bas-fond),20.2,307,Partiel,1.8,1
Z0352,Sédhiou,Sédhiou,12.72051,-15.53261,6.4,0.09,449,Argilo-sableux,Agricole,5.5,197,Partiel,3.5,0
Z0353,Sédhiou,Sédhiou,12.70881,-15.55343,8.7,2.76,674,Argilo-sableux,Urbain lâche,51.8,4995,Partiel,1.8,0
Z0354,Sédhiou,Sédhiou,12.71043,-15.56671,15.5,1.76,800,Argileux,Urbain lâche,50.3,3868,Complet,4.0,0
Z0355,Sédhiou,Sédhiou,12.72114,-15.55619,13.6,1.59,474,Hydromorphe,Zone humide (Niayes/bas-fond),28.6,137,Partiel,3.8,1
Z0356,Sédhiou,Sédhiou,12.72764,-15.52638,20.2,0.69,1255,Hydromorphe,Zone humide (Niayes/bas-fond),32.9,259,Complet,1.7,0
Z0357,Sédhiou,Sédhiou,12.71445,-15.56935,14.4,0.83,573,Hydromorphe,Agricole,13.6,254,Complet,3.7,0
Z0358,Sédhiou,Sédhiou,12.70768,-15.54663,29.5,0.9,517,Argilo-sableux,Urbain dense,70.7,11733,Aucun,6.0,0
Z0359,Sédhiou,Sédhiou,12.71275,-15.56968,5.1,0.13,1155,Latéritique,Agricole,22.6,155,Partiel,3.3,1
Z0360,Sédhiou,Sédhiou,12.71974,-15.539,22.7,0.39,2226,Argileux,Agricole,10.8,521,Partiel,4.9,1
Z0361,Sédhiou,Sédhiou,12.71697,-15.53692,9.8,0.83,508,Hydromorphe,Urbain lâche,53.7,3031,Complet,3.3,0
Z0362,Sédhiou,Sédhiou,12.70879,-15.5529,14.1,1.01,734,Argilo-sableux,Agricole,11.2,288,Complet,2.8,0
Z0363,Tambacounda,Tambacounda,13.78272,-13.65999,27.5,0.7,908,Latéritique,Agricole,0.2,166,Partiel,5.1,0
Z0364,Tambacounda,Tambacounda,13.77036,-13.67162,37.4,1.67,590,Argilo-sableux,Urbain lâche,45.0,5822,Complet,7.0,0
Z0365,Tambacounda,Tambacounda,13.79481,-13.68059,27.5,4.53,1620,Hydromorphe,Zone humide (Niayes/bas-fond),40.9,221,Aucun,2.8,0
Z0366,Tambacounda,Tambacounda,13.76792,-13.65559,37.0,0.86,1688,Latéritique,Agricole,9.2,207,Partiel,9.2,0
Z0367,Tambacounda,Tambacounda,13.78113,-13.66686,47.1,3.59,2837,Sableux,Urbain lâche,43.8,3516,Aucun,9.2,0
Z0368,Tambacounda,Tambacounda,13.78401,-13.69143,58.9,1.21,522,Argilo-sableux,Urbain dense,74.1,19553,Complet,10.4,0
Z0369,Tambacounda,Tambacounda,13.78574,-13.68413,45.2,0.55,752,Latéritique,Urbain dense,74.3,15198,Complet,7.4,0
Z0370,Tambacounda,Tambacounda,13.76483,-13.66103,46.9,2.7,951,Hydromorphe,Zone humide (Niayes/bas-fond),43.5,118,Complet,2.4,0
Z0371,Tambacounda,Tambacounda,13.79219,-13.66073,33.7,0.09,15828,Hydromorphe,Agricole,0.0,301,Aucun,7.5,3
Z0372,Tambacounda,Tambacounda,13.77322,-13.66817,17.3,1.39,619,Argilo-sableux,Urbain lâche,60.5,5644,Aucun,5.5,2
Z0373,Tambacounda,Tambacounda,13.75795,-13.6685,17.5,1.35,2952,Argileux,Urbain lâche,62.7,5565,Aucun,4.9,5
Z0374,Bakel,Tambacounda,14.9021,-12.43593,11.4,1.14,435,Latéritique,Urbain lâche,62.1,5756,Partiel,4.0,3
Z0375,Bakel,Tambacounda,14.91573,-12.46508,26.8,4.79,464,Latéritique,Agricole,12.0,77,Partiel,6.3,0
Z0376,Bakel,Tambacounda,14.89533,-12.44243,31.7,0.82,916,Sableux,Agricole,27.8,165,Partiel,7.0,0
Z0377,Bakel,Tambacounda,14.89231,-12.46385,24.0,0.98,560,Argileux,Urbain lâche,65.3,9605,Partiel,5.1,1
Z0378,Bakel,Tambacounda,14.91446,-12.45795,19.6,1.78,217,Hydromorphe,Zone humide (Niayes/bas-fond),25.5,165,Partiel,1.8,2
Z0379,Bakel,Tambacounda,14.91183,-12.46283,22.5,3.59,339,Hydromorphe,Végétation naturelle,10.0,140,Partiel,6.1,0
Z0380,Bakel,Tambacounda,14.90185,-12.44901,25.3,0.69,528,Sableux,Agricole,21.0,218,Aucun,5.8,1
Z0381,Bakel,Tambacounda,14.92015,-12.45263,33.1,2.38,266,Latéritique,Agricole,0.0,179,Partiel,7.8,0
Z0382,Kédougou,Kédougou,12.54651,-12.20627,93.7,1.2,1212,Argileux,Urbain lâche,54.6,2393,Aucun,18.3,2
Z0383,Kédougou,Kédougou,12.53722,-12.19014,185.2,0.79,1436,Latéritique,Agricole,8.4,171,Partiel,33.2,0
Z0384,Kédougou,Kédougou,12.56187,-12.17462,130.2,0.32,612,Latéritique,Agricole,15.3,185,Complet,23.4,0
Z0385,Kédougou,Kédougou,12.56162,-12.17606,54.3,1.9,1158,Sableux,Urbain lâche,69.6,5872,Partiel,10.1,0
Z0386,Kédougou,Kédougou,12.57411,-12.17654,87.4,4.44,747,Hydromorphe,Zone humide (Niayes/bas-fond),29.3,181,Complet,0.8,0
Z0387,Kédougou,Kédougou,12.55235,-12.18298,153.9,3.68,1179,Hydromorphe,Zone humide (Niayes/bas-fond),24.2,297,Complet,0.2,0
Z0388,Kédougou,Kédougou,12.56133,-12.19252,125.6,0.95,484,Argileux,Urbain lâche,32.1,3662,Aucun,21.1,0
